epoch, training perplexity, valid perplexity, test perplexity
  1,   583.54,   367.62,
  2,   244.84,   251.88,
  3,   176.98,   193.11,
  4,   145.56,   166.63,
  5,   125.11,   145.29,
  6,   111.29,   127.89,
  7,    99.88,   116.66,
  8,    90.47,   104.95,
  9,    82.77,    96.21,
 10,    75.84,    85.14,
 11,    69.22,    77.46,
 12,    63.85,    71.77,
 13,    59.22,    65.46,
 14,    55.03,    59.70,
 15,    51.44,    55.60,
 16,    48.23,    52.24,
 17,    45.40,    48.89,
 18,    43.10,    46.76,
 19,    41.12,    42.87,
 20,    39.11,    40.36,
 21,    37.54,    38.71,
 22,    35.59,    36.29,
 23,    34.52,    34.98,
 24,    33.21,    33.82,
 25,    32.41,    32.13,
 26,    31.55,    30.37,
 27,    30.19,    29.15,
 28,    29.65,    28.31,
 29,    28.73,    26.93,
 30,    27.89,    26.21,
 31,    27.43,    25.95,
 32,    26.64,    24.84,
 33,    26.19,    23.97,
 34,    25.76,    23.50,
 35,    25.44,    22.92,
 36,    24.89,    22.48,
 37,    24.53,    22.13,
 38,    23.93,    21.30,
 39,    23.93,    21.07,
 40,    23.40,    20.90,
end,,,    11.41
