epoch, training perplexity, valid perplexity, test perplexity
  1,   588.82,   387.24,
  2,   263.44,   262.54,
  3,   202.55,   212.23,
  4,   172.86,   185.76,
  5,   155.75,   172.39,
  6,   144.17,   156.64,
  7,   135.38,   147.73,
  8,   128.41,   139.24,
  9,   122.46,   132.68,
 10,   117.17,   126.12,
 11,   113.05,   119.28,
 12,   109.14,   116.91,
 13,   106.44,   112.17,
 14,   103.44,   108.03,
 15,   101.18,   105.33,
 16,    98.47,   101.86,
 17,    96.50,    98.97,
 18,    94.99,    96.34,
 19,    92.83,    93.75,
 20,    90.93,    93.26,
 21,    89.49,    89.95,
 22,    88.70,    87.92,
 23,    87.48,    85.36,
 24,    86.17,    84.57,
 25,    84.91,    81.97,
 26,    83.38,    80.59,
 27,    82.20,    78.86,
 28,    81.67,    77.69,
 29,    80.71,    75.45,
 30,    79.82,    75.14,
 31,    78.49,    74.60,
 32,    77.88,    72.19,
 33,    77.27,    70.66,
 34,    76.60,    69.74,
 35,    75.60,    68.99,
 36,    74.62,    68.21,
 37,    74.39,    67.23,
 38,    73.06,    66.34,
 39,    73.51,    66.10,
 40,    72.66,    64.37,
end,,,    42.49
