epoch, training perplexity, valid perplexity, test perplexity
  1,   679.03,   491.79,
  2,   391.55,   385.73,
  3,   340.15,   365.60,
  4,   321.07,   347.47,
  5,   310.35,   344.01,
  6,   303.83,   334.87,
  7,   298.59,   326.62,
  8,   294.93,   326.31,
  9,   292.91,   324.75,
 10,   289.53,   321.89,
 11,   287.46,   316.55,
 12,   285.62,   313.30,
 13,   283.83,   314.60,
 14,   276.71,   302.50,
 15,   268.61,   298.72,
 16,   263.85,   295.84,
 17,   261.57,   294.89,
 18,   258.74,   292.83,
 19,   257.06,   291.69,
 20,   255.94,   290.55,
 21,   253.98,   288.65,
 22,   252.38,   286.61,
 23,   250.04,   285.19,
 24,   249.68,   283.72,
 25,   247.09,   282.62,
 26,   246.83,   281.87,
 27,   245.34,   279.61,
 28,   243.77,   279.82,
 29,   242.56,   277.44,
 30,   241.03,   276.68,
 31,   240.12,   276.01,
 32,   239.11,   275.23,
 33,   238.32,   275.48,
 34,   237.32,   275.19,
 35,   238.28,   275.15,
 36,   237.37,   275.02,
 37,   237.20,   275.02,
 38,   236.87,   274.93,
 39,   236.25,   274.86,
 40,   237.34,   274.82,
end,,,   189.08
